id,category,author,title,start_page,end_page
1,oral,浜中智己;坂本一憲;佐々木由樹;水野慎一郎;土岡由季;川崎康紀;吉松智美;大越匡,ライフログサービスにおける適応的プッシュ通知型情報提示と行動変容,,
2,oral,益田岳;酒造正樹;荒木英夫,遠隔調理活動に対する他者の気づきと声掛けの初期分析,,
3,oral,藤本隆晟;中村優吾;荒川豊,行動変容支援サービスにおけるユーザ保護と有用性を両立する重み付きϵ-差分プライバシーの提案,,
4,oral,田中宏和;中村優吾;荒川豊,PC作業時のスマホ利用を抑制するコンテンツ制限手法の検討,,
5,oral,柏本幸俊;曹蓮;山崎悠大;上坂大輔,向社会的行動促進に向けた心理プロセス調査とAIによる行動誘発・習慣化に向けた展望,,
6,oral,松尾周汰;中村優吾;荒川豊,ナッジフレームを適用したCaptive Portalによるセキュリティリテラシ向上支援システムの検討と評価,,
7,oral,鵜沼亘;間邊哲也,映画館チケット予約システムの上映回選択画面における混雑回避を目的としたナッジの効果について,,
8,posterdemo,岸駿斗;橋浦健太;犬飼佳吾;渡邊恵太,信頼ゲームにおける視線や他者の存在感が意思決定に与える影響の検討,,
9,posterdemo,元川錦;横窪安奈;ロペズギヨーム,HydReminder-W 生体情報を活用したスマートボトルキャップシステム,,
10,posterdemo,久保彰悟;田中宏和;中村優吾;荒川豊,ユーザアクティビティに応じた機能制限によるPC作業時の健康支援システムの提案,,
11,posterdemo,山内大河;山崎悠大;柏本幸俊;上坂大輔;岩本健嗣,音楽を利用した社会的価値志向性測定のための検討,,
12,posterdemo,近藤亮介;松田裕貴;諏訪博彦;安本慶一,伸縮センサを用いた呼吸センシングによる水泳パフォーマンス解析システムの提案,,
13,posterdemo,織睦樹;甲斐貴一朗;大園咲奈;中村優吾;荒川豊;山崎悠大;曹蓮;柏本幸俊;上坂大輔,誘因と説得と集団随伴性を活用したハイブリット介入による行動変容の効果検証,,
14,posterdemo,渡邊将太;松村耕平;岡藤勇希;沓澤岳;小林吉之,絵文字による感情の振り返りは Well-being の向上につながるか：スマートウォッチによる感情測定システムの実装,,
15,posterdemo,大園咲奈;中村優吾;荒川 豊,フェムテックによる本人及び周辺の人の行動変容支援に関する調査,,