id,author,title
bti03_01,真弓大輝;中村優吾;松田裕貴;三崎慎也;安本慶一,Kaolid: 飲料の味変化のための口中香を実現する蓋型嗅覚デバイスの設計と基礎評価
bti03_02,浜田惇矢;浜中智己;佐々木航;大越匡;中澤仁,Vacuum Colorner: 複合現実を用いた掃除における行動変容を促すアプリケーションの提案
bti03_03,元川錦;横窪安奈;ロペズギヨーム,水分補給支援システムと行動変容検証
bti03_04,早川昭二;渡辺一郎;上村拓也;前田一穂;烏谷彰,高齢者の介護予防に向けた行動変容を促す介入方法の推定
bti03_05,濱谷尚志;落合桂一;山田渉;檜山聡;白井拓也;荒川豊,目標宣言共有型プラットフォームを用いたソーシャルナッジの量的質的効果の評価
bti03_06,望月康平;細川健人;豊浦正広,イスの揺れからの人物と活動の識別
bti03_07,Tahia Tazin;John Noel Victorino;Yu Enokibori;Sozo Inoue,Stand-up Activity Prediction from Textile Pressure Sensors
bti03_08,豊浦正広;奥田雅也,短時間パターン認識結果の投票的統合によるドア利用者識別
bti03_09,中嶋桃香;浜中智己;佐々木航;大越匡;中澤仁,顔表情解析による自然な笑いと作り笑いの識別
bti03_10,Picard Sébastien;上村拓也;烏谷彰,Basic experiment related to overconfidence detection method from PC interaction data
bti03_11,吉川裕木子;勝間田優樹;鈴木喬;山田暁,行動変容を促すナッジ文言選定のためのアプリログによる属性情報の補完手法
bti03_12,斉藤虎太郎;江口直輝;荒川豊;中村優吾,法人向け運動促進アプリケーションにおけるインセンティブが身体活動に及ぼす影響の分析
bti03_13,酒井亮勢;落合桂一;井手崇博;大滝亨;山田曉;鈴木喬;佐藤弘之;川上博;矢野達也;大川博生;和久井圭祐;白井拓也;荒川豊;星野崇宏,インセンティブとの組み合わせを前提としたナッジ効果測定のための実験設計方法
bti03_14,磯田祐世;浅田勝義;山本佑樹,製造業におけるDX推進に向けたリテラシー醸成の取り組み
bti03_15,松尾周汰;中村優吾;荒川豊,継続的な学習機能を有するWiFi ポータルシステムの設計と実装
bti03_16,上野貴弘;大橋正良,ハラスメント被害時の主観的ストレス差異による心拍変動特徴分析
bti03_17,江島直也;日室聡仁;笹鹿祐司;後藤晶,資源循環促進に向けた住民の行動変容
bti03_18,千種康民;保坂浩太郎;熊谷華菜;落合育海;今野駿太,健康メディアデザインによる大学生の生活習慣の改善と集中力の向上
bti03_19,友浦一樹;吉田政望;野口拓,地磁気センサとBLEビーコンを用いた低コスト屋内混雑度推定システム
bti03_20,勝間田優樹;吉川裕木子;鈴木喬;山田曉,混雑緩和やユーザ体験価値向上に向けた行動変容施策の設計および社会実装について
bti03_21,城谷知葵;難波洸也;中村優吾;荒川豊,オンライン会議中の参加状態推定と音声変換提示による参加促進手法の提案
bti03_22,神田琢也;高橋公海;宮島麻美,スマートウォッチによる煩わしさを低減する通知タイミングの推定方法に関する検討
bti03_23,原田将治;烏谷彰,行動変容を定着化させるための介入制御方式の検討
bti03_24,田中宏昌;實成優馬;吉川裕木子;勝間田優樹;山田渉;落合桂一,行動多動性とプッシュ通知による行動変容容易性
bti03_25,小林久也;尾形晋;烏谷彰,案件割当における従業員の作業時間の均一化を図る割当手法
bti03_26,浅田勝義;磯田祐世;山本佑樹,製造業における技術革新と行動変容～アルミ圧延加工事業を例に～
bti03_27,山崎悠大;曹蓮;柏本幸俊;上坂大輔,IoT行動変容に向けた向社会的行動の他者推奨意向に関する検討
bti03_28,大原黎明;中嶋桃香;浜中智己;佐々木航;大越匡;中澤仁,骨格推定を用いたバドミントンのスマッシュフォーム改善アプリの実装
bti03_29,佐藤圭翼;ロペズギヨーム,CoreMoni-α：効果的な体幹トレーニングのためのリアルタイムフィードバックシステム
bti03_30,川崎勇佑;本多一騎;ホサインタヘラ;ロペズ　ギヨーム,ウェアラブルエアコンによるフィードバックの生理効果
bti03_31,髙橋裕子;大森幹真,英語の読み能力向上に付随した授業内問題行動の変容
bti03_32,大森幹真,刺激の実観察割合による外国語の書き獲得支援：見せ方の違いによる行動変容の可能性
bti03_33,阿部悠貴;ロペズ・ギヨーム,拡張現実を用いたマルチプレイ掃除活性化システム
bti03_34,小川展夢;松村欣司;藤沢寛,多様な情報への接触促進を目的とする行動を考慮したコンテキスト適応情報提示システム
bti03_35,今野祥太;大森幹真,睡眠の質と量の主観的・客観的評価の乖離について
bti03_36,林珠里;大森幹真,主体・客体の相違における言語行動の変容：ASD 傾向との関連
bti03_37,鈴木臣;深沢圭一郎;村井孝子,室内環境測定に基づく居住者の行動推定システム
bti03_38,山口隼平;大島律子;大島純;木崎一廣;藤橋卓也;猿渡俊介;渡辺尚,コラボレーションの定量・定性分析を接続するIoT システムの一検討
bti03_39,柏本幸俊;山崎悠大;曹蓮;上坂大輔,社会的意義付けを活用したハイブリッド介入の基礎検討
bti03_40,三村知洋;酒井亮勢;石黒慎;鈴木喬;山田曉,心理特性に基づいたメッセージ配信によるクーポン開封率向上の検討